,pageid,title,category,label,language,text,links
0,26700,Science,Science,0,en,"Science (from Latin  scientia 'knowledge') is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.The earliest roots of science can be traced to Ancient Egypt and Mesopotamia in around 3000 to 1200 BCE. Their contributions to mathematics, astronomy, and medicine entered and shaped Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes. After the fall of the Western Roman Empire, knowledge of Greek conceptions of the world deteriorated in Western Europe during the early centuries (400 to 1000 CE) of the Middle Ages, but was preserved in the Muslim world during the Islamic Golden Age. The recovery and assimilation of Greek works and Islamic inquiries into Western Europe from the 10th to 13th century revived ""natural philosophy"", which was later transformed by the Scientific Revolution that began in the 16th century as new ideas and discoveries departed from previous Greek conceptions and traditions. The scientific method soon played a greater role in knowledge creation and it was not until the 19th century that many of the institutional and professional features of science began to take shape; along with the changing of ""natural philosophy"" to ""natural science.""Modern science is typically divided into three major branches that consist of the natural sciences (e.g., biology, chemistry, and physics), which study nature in the broadest sense; the social sciences (e.g., economics, psychology, and sociology), which study individuals and societies; and the formal sciences (e.g., logic, mathematics, and theoretical computer science), which deal with symbols governed by rules. There is disagreement, however, on whether the formal sciences actually constitute a science as they do not rely on empirical evidence. Disciplines that use existing scientific knowledge for practical purposes, such as engineering and medicine, are described as applied sciences.New knowledge in science is advanced by research from scientists who are motivated by curiosity about the world and a desire to solve problems. Contemporary scientific research is highly collaborative and is usually done by teams in academic and research institutions, government agencies, and companies. The practical impact of their work has led to the emergence of science policies that seek to influence the scientific enterprise by prioritizing the development of commercial products, armaments, health care, public infrastructure, and environmental protection.","[56661172, 2665685, 6679056]"
1,9145213,Outline of science,Science,0,en,"The following outline is provided as a topical overview of science; the discipline of science is defined as both the systematic effort of acquiring knowledge through observation, experimentation and reasoning, and the body of knowledge thus acquired, the word ""science"" derives from the Latin word scientia meaning knowledge. A practitioner of science is called a ""scientist"". Modern science respects objective logical reasoning, and follows a set of core procedures or rules to determine the nature and underlying natural laws of all things, with a scope encompassing the entire universe. These procedures, or rules, are known as the scientific method.","[61744455, 52412, 69658254]"
2,26997,Scientist,Science,0,en,"A scientist is a person who conducts scientific research to advance knowledge in an area of interest.In classical antiquity, there was no real ancient analog of a modern scientist. Instead, philosophers engaged in the philosophical study of nature called natural philosophy, a precursor of natural science. Though Thales (circa 624-545 BC) was arguably the first scientist for describing how cosmic events may be seen as natural, not necessarily caused by gods, it was not until the 19th century that the term scientist came into regular use after it was coined by the theologian, philosopher, and historian of science William Whewell in 1833.In modern times, many scientists have advanced degrees in an area of science and pursue careers in various sectors of the economy such as academia, industry, government, and nonprofit environments.","[56661172, 238212, 19616384]"
3,9145213,Outline of science,Science,0,en,"The following outline is provided as a topical overview of science; the discipline of science is defined as both the systematic effort of acquiring knowledge through observation, experimentation and reasoning, and the body of knowledge thus acquired, the word ""science"" derives from the Latin word scientia meaning knowledge. A practitioner of science is called a ""scientist"". Modern science respects objective logical reasoning, and follows a set of core procedures or rules to determine the nature and underlying natural laws of all things, with a scope encompassing the entire universe. These procedures, or rules, are known as the scientific method.","[61744455, 52412, 69658254]"
4,54251016,List of academic fields,Science,0,en,"An academic discipline or field of study is known as a branch of knowledge. It is taught as an accredited part of higher education. A scholar's discipline is commonly defined and recognized by a university faculty. That person will be accredited by learned societies to which they belong along with the academic journals in which they publish. However, no formal criteria exist for defining an academic discipline.
Disciplines vary between universities and even programs. These will have well-defined rosters of journals and conferences supported by a few universities and publications. Most disciplines are broken down into (potentially overlapping) branches called sub-disciplines.
There is no consensus on how some academic disciplines should be classified (e.g., whether anthropology and linguistics are disciplines of social sciences or fields within the humanities). More generally, the proper criteria for organizing knowledge into disciplines are also open to debate.","[3192516, 238212, 13906453]"
5,242710,Outline of academic disciplines,Science,0,en,"An academic discipline or field of study is a branch of knowledge, taught and researched as part of higher education. A scholar's discipline is commonly defined by the university faculties and learned societies to which they belong and the academic journals in which they publish research.
Disciplines vary between well-established ones that exist in almost all universities and have well-defined rosters of journals and conferences, and nascent ones supported by only a few universities and publications. A discipline may have branches, and these are often called sub-disciplines.
The following outline is provided as an overview of and topical guide to academic disciplines. In each case an entry at the highest level of the hierarchy (e.g., Humanities) is a group of broadly similar disciplines; an entry at the next highest level (e.g., Music) is a discipline having some degree of autonomy and being the basic identity felt by its scholars; and lower levels of the hierarchy are sub-disciplines not normally having any role in the structure of the university's governance.","[3192516, 238212, 149170]"
6,4340403,List of adiabatic concepts,Science,0,en,Adiabatic (from Gr. ἀ negative + διάβασις passage; transference) refers to any process that occurs without heat transfer.  This concept is used in many areas of physics and engineering. Notable examples are listed below.,"[28289950, 18056178, -1]"
7,10395600,Atmospheric radiative transfer codes,Science,0,en,"An atmospheric radiative transfer model, code, or simulator calculates radiative transfer of electromagnetic radiation through a planetary atmosphere.","[17096730, 10414589, 50009770]"
8,10181793,Azeotrope tables,Science,0,en,"This page contains tables of azeotrope data for various binary and ternary mixtures of solvents. The data include the composition of a mixture by weight (in binary azeotropes, when only one fraction is given, it is the fraction of the second component), the boiling point (b.p.) of a component, the boiling point of a mixture, and the specific gravity of the mixture. Boiling points are reported at a pressure of 760 mm Hg unless otherwise stated. Where the mixture separates into layers, values are shown for upper (U) and lower (L) layers.
The data were obtained from Lange's 10th edition and CRC Handbook of Chemistry and Physics 44th edition unless otherwise noted (see color code table).
A list of 15825 binary and ternary mixtures was collated and published by the American Chemical Society. An azeotrope databank is also available online through the University of Edinburgh.","[17206806, 14899419, 3122764]"
9,4352963,List of Balzan Prize recipients,Science,0,en,"This is a list of recipients of the Balzan Prize, one of the world's most prestigious academic awards. The International Balzan Prize Foundation awards four annual monetary prizes to people or organizations who have made outstanding achievements in the humanities, natural sciences, culture, and peace on an international level The Prizes are awarded in four subject areas: ""two in literature, the moral sciences and the arts"" and ""two in the physical, mathematical and natural sciences and medicine."" The special Prize for Humanity, Peace and Fraternity is presented at intervals of every three years or longer.","[302102, 1224343, 1307592]"
