,Unnamed: 0,pageid,title,category,label,language,text,links
0,0.0,1047,Bilim,Bilim,0,tr,"Bilim, nedensellik, merak ve amaç besleyen, olguları ve iddiaları deney, gözlem ve düşünce aracılığıyla sistematik bir şekilde inceleyen entelektüel ve pratik disiplinler bütünüdür. Bir parantez açmak gerekirse bu tanımın ""ilim"" için geçerli olmadığının altını çizmek gerekir. Zira bilim somut, dünyevî ve evrensel olayları kendine konu edinmişken ilim manevî olaylarla da ilgilenebilir fakat somut kanıt sunmaz. Bilimi sınıflandıran bilim felsefecileri bilimi formal, sosyal ve fennî bilimler olmak üzere üçe ayırır. Bilimin diğer tüm disiplinlerden en farklı karakteristiği, savunmalarını somut kanıtlarla sunmasıdır. Ve bu da bilimi en güvenilir disiplin olarak günümüze kadar birçok alt dala bölmüş, insanların daha iyi yaşam koşullarına kavuşmasına, bilinmeyen olguları bulmamıza ve yeni şeyler öğrenmemize önayak olmuştur. Tüm bilim dalları evrenin bir bölümünü kendine konu olarak seçer, deneysel yöntemlere ve gerçekliğe dayanarak yasalar çıkarmaya çalışır. Einstein bilimi, her türlü düzenden yoksun duyu verileri ile düzenli düşünceler arasında uygunluk sağlama çabası, Bertrand Russell ise gözlem ve gözleme dayalı akıl yürütme yoluyla dünyaya ilişkin olguları birbirine bağlayan yasaları bulma çabası olarak tanımlar.
Yüzyıllardır insanlığın yeryüzündeki yaşama ortamına duyduğu merak, yaşam standartlarını yükseltecek bir etkinliğe bürünmeye başladı. Olağan gibi görünen olayları anlama çabası, aslında dünyanın gizemlerle dolu bir yer olduğunu ve bunları çözümlemek gerektiği gerçeğini doğurmuştur. Geleneksel bilim sadece anlamaya ve çözmeye gereksinim hissetse de, ileri safhalara bölünen bilim türleri sadece çözmeyi değil çözümden öte ilerlemeyi de kapsar. Geçmişe bakıldığında en önemli sayılan bilim dallarından bazıları matematik, geometri, gök bilimi ve tıptır. Çok çeşitli matematiksel çözümleme sistemlerinin geliştirildiği ilk zamanlardan bu yana hâlâ yeni formüller, sistemler, kuramlar geliştirilmektedir ki bu da bilimin sürekliliğine bir örnektir.
Bilim deneye çok önem verir ve bilimsel yöntem deneye dayanır. Bu evre, işlenen konuyu daha inandırıcı kılmanın yanında belirli bir çerçeveye oturtur. Bir varsayım (hipotez), muhtelif sınamalar sonucunda doğrulanırsa kuram (teori) statüsünü alabilir ve temel taş niteliğine bürünebilir. Bilimin sonsuz bir süreç içinde değişimi yadsınamaz bir durumdur. Zaman içinde alt dallara bölünen bilim sayısal ve sosyal alanlarda ayrı konulara bürünmüş; fakat nitelik açısından aynı amaca hizmet etmeyi sürdürmüştür.","[136553, 650602, 25998, 844181, 207157, 8220, 120090, 642417, 192672, 511305, 1647, 104842, 38391, 13801, 656, 3932, 735, 1050, 69510, 6347]"
1,1.0,2809249,Felsefe-Bilim,Bilim,0,tr,"Felsefe-Bilim, Teoman Duralı ve İhsan Fazlıoğlu tarafından geliştirilen kuramdır. Buna göre, felsefe-bilim 'genel felsefe' olarak adlandırılıan disiplinden başkalaşır. Onun ucu bucağı görünmezliğine karşı tarihi-sistematik bir bölümüdür. Felsefe-bilim şeklinde ortaya çıkan felsefe yapma tavrının kökleri Mısır ve Mezopotamya'ya uzanır. Ancak onu hocası Eflatun'dan ilahi-uhrevi hikmet sancağını devralarak Aristoteles başlatmıştır. Bu kuramla bilim geleneğinin 17. yüzyılda başladığı da reddedilir.
Felsefe-bilim tarih boyunca üç aşamadan oluşur:

Eskiçağ Ege
Ortaçağ (İslam ve Yahudi-Hristiyan felsefe-bilimleri)
Yeniçağ (Dindışı Avrupa felsefe-bilimleri)","[1581859, 37581, 11084, 7988, 1799741]"
2,2.0,2550334,Oktay Güvemli,Bilim,0,tr,"Oktay Güvemli, muhasebe tarihinde öncü bilim insanı, yazar ve akademisyendir. Muhasebe ve Finans Tarihi Vakfı'nın kurucusudur. Yurt dışında birçok kongre ve konferansa katılan Prof. Güvemli, 2008 Yılında İstanbul’da 12. Dünya Muhasebe Tarihçileri Kongresi’ni (12.WCAH) organize etti ve başkanlığını yaptı. 2007’de Edirne’de, 2010 ve 2013 yıllarında İstanbul’da, Balkanlar ve Orta Doğu Ülkeleri Muhasebe ve Muhasebe Tarihi Konferanslarını (BMAC) organize etti ve başkanlığını yaptı.",[]
3,3.0,2781041,Matematik tarihi,Bilim,0,tr,"Matematik tarihi, öncelikle matematikteki keşiflerin kökenini araştıran ve daha az ölçüde ise matematiksel yöntemleri ve geçmişin notasyonunu araştıran bir bilimsel çalışma alanıdır. Modern çağdan ve dünya çapında bilginin yayılmasından önce, yeni matematiksel gelişmelerin yazılı örnekleri yalnızca birkaç yerde gün ışığına çıktı. MÖ 3000'den itibaren Mezopotamya eyaletleri Sümer, Akad ve Asur, Eski Mısır ve Ebla ile birlikte vergilendirmede, ticarette, doğayı anlamada, astronomide ve zamanı kaydetmede/takvimleri formüle etmede aritmetik, cebir ve geometri kullanmaya başladı.
Günümüzdeki en eski matematiksel metinler Mezopotamya ve Mısır'dandır; Plimpton 322 (Babil, y. MÖ 1900), Rhind Papirüsü (Mısır, y. MÖ 2000–1800) ve Moskova (Golenischev) Papirüsü (Mısır, y. MÖ. 1890). Tüm bu metinler, Pisagor üçlülerinden bahseder. Bu nedenle, çıkarım yoluyla Pisagor teoremi, temel aritmetik ve geometriden sonra en eski ve yaygın matematiksel gelişme olarak görülmektedir.
Matematiğin bir ""belirtici disiplin"" olarak incelenmesi, MÖ 6. yüzyılda ""matematik"" terimini ""eğitim konusu"" anlamına gelen eski Yunanca μάθημα'dan (mathema) türeten Pisagorcularla başlar. Yunan matematiği, yöntemlerini büyük ölçüde geliştirdi (özellikle tümdengelimli akıl yürütme ve kanıtlarda matematiksel kesinlik yoluyla) ve matematiğin konusunu genişletti. Teorik matematiğe neredeyse hiç katkı sağlamamış olsalar da, eski Romalılar uygulamalı matematiği ölçme, yapı mühendisliği, makine mühendisliği, defter tutma, ay ve güneş takvimlerinin oluşturulması ve hatta güzel sanatlar ve el sanatlarında kullandılar. Çin matematiği, basamak değeri sistemi ve negatif sayıların ilk kullanımı da dahil olmak üzere matematiğe erken dönemde katkı vermiştir. Hint-Arap rakam sistemi ve bugün dünya genelinde kullanılan işlemlerinin kullanımına ilişkin kurallar, Hindistan'da MS birinci bin yıl boyunca gelişti ve Muhammed ibn Mūsā el-Harezmi'nin çalışmasıyla İslam matematiği yoluyla Batı dünyasına aktarıldı. İslam matematiği de bu medeniyetler tarafından bilinen matematiği geliştirdi ve genişletti. Bu kültürel mirasla eşzamanlı fakat onlardan bağımsız olan, Meksika ve Orta Amerika'daki Maya uygarlığı tarafından geliştirilen, Maya rakamlarında sıfır kavramına standart bir sembol verilen matematikti.
Matematikle ilgili birçok Yunanca ve Arapça metin, 12. yüzyıldan itibaren Ortaçağ Avrupa'sında matematiğin daha da gelişmesine yol açacak şekilde Latince'ye çevrildi. Antik çağlardan Orta Çağ'a kadar, matematiksel keşif dönemlerini genellikle yüzyıllar süren durgunluk takip etti. 15. yüzyılda Rönesans İtalyasından başlayarak, yeni bilimsel keşiflerle etkileşime giren yeni matematiksel gelişmeler, günümüze kadar artan bir hızla devam etti. Bu, hem Isaac Newton hem de Gottfried Wilhelm Leibniz'in 17. yüzyıl boyunca sonsuz küçükler hesabının gelişiminde çığır açan çalışmasını içerir. 19. yüzyılın sonunda Uluslararası Matematikçiler Kongresi kuruldu. Kongre, dört yılda bir dünyanın farklı ülkelerinden matematikçileri bir araya getirerek bu alandaki gelişmelere destek vermeye devam ediyor. Her kongrede matematiğe değerli katkılar sunan matematikçilere, Fields Madalyası, Nevanlinna Ödülü, Gauss Ödülü ve Chern Madalyası verilir.","[11829, 5961, 216053, 50668, 672, 802382, 9041, 735, 7053, 6761, 3932, 2342347, 468665, 2781614, 1595251, 1208, 106132, 2631764, 2305452, 1360734, 244601, 2024201, 1204, 775271, 7784, 2775475, 48627, 4310, 111928, 1328165, 189037, 2784920, 2784949, 2785035]"
4,4.0,2966687,Terra incognita,Bilim,0,tr,"Terra incognita veya terra ignota ( Latince ""bilinmeyen bölge"" incognita, Latincede ikinci hecesinde vurgulanır, ancak İngilizce telaffuzda farklıdır) kartografyada haritalanmamış veya belgelenmemiş bölgeler için kullanılan bir terimdir. İfadenin ilk olarak Batlamyus'un Coğrafya'sında görüldüğüne inanılıyor. 15'inci yüzyılda Coğrafi Keşifler döneminde Batlamyus'un çalışmalarının yeniden keşfedilmesinden sonra tekrar kullanılmaya başlandı. Fransız haritalarındaki eşdeğeri terres inconnues'dir (çoğul) ve bazı İngilizce haritalarda parts unknown [bilinmeyen bölümler] olarak da geçer.Benzer şekilde, keşfedilmemiş veya bilinmeyen denizler, Latince ""bilinmeyen deniz"" anlamına gelen mare incognitum olarak adlandırılır.","[15173, 236449, 6234, 405769, 1431, 2335551, 124554, 216065, 13462, 6234, 90737, 15173]"
5,5.0,3307771,Uzay Çağında Yolculuk,Bilim,0,tr,"Uzay Çağında Yolculuk 4 öğrenci tarafından kurulup ilk başta kanalın amacı Dünya üzerinde yapılan bütün roket fırlatmalarını yayınlamaktı fakat daha sonra gelen takipçi kitlesinden dolayı kanalın amacı Başta Dünya'da ki ve ardından Türkiye'de ki uzay gelişmelerini yayınlamak olmuştur. Geçen zaman içerisinde ilk başta 4 kişilik Mars ekibi, 5 kişilik Phobos ekibi, 2 kişilik Deimos ekibi ve yazar ekibi de dahil olmak üzere bir çok kişinin çalıştığı bir platform haline geldi.","[1562, 13034, 108558]"
6,6.0,2834992,Ablasyon,Bilim,0,tr,"Ablasyon, bir materyalin, bir nesneden buharlaşma, yontma veya diğer aşındırıcı işlemlerle kaldırılması veya imha edilmesidir. Tedavi edici özelliğinin kullanıldığı alan kalp ve damar hastalıklarıdır. Ritim bozukluğu olan hastalara anjiyo yöntemi ile girilerek ömür boyu hap kullanmaları önlenir ve sağlıklı bir şekilde hayatlarına devam etmeleri sağlanır.","[2048302, 23358, 639, 351309, 888360, 151078, 27381]"
7,7.0,638468,Accademia dei Lincei,Bilim,0,tr,"Accademia dei Lincei yani Vaşaklar Akademisi, İtalya'da, Roma'da bulunan bilim akademisidir. 1603 yılında Federico Cesi tarafından kurulmuştur. Akademinin ismi vaşak hayvanından almıştır. İsimde vaşaklara olan atıf şu sebepledir; vaşakların keskin görüşlü olması, bilim için gereken gözlem maharetini sembolize etmekte kullanılmıştır. 1871 yılında akademi ülkenin resmî bilim akademisi hâline gelmiştir.
Her ne kadar faşist rejim sırasında feshedilip, Accademia d'Italia yani ""İtalyan Akademisi"" bünyesine katılsa da, faşist rejim sonrasında bu akademi kaldırılınca Accademia dei Lincei tekrar kurulmuştur.",[]
8,8.0,77881,Açık etiketli çalışma,Bilim,0,tr,"Açık etiketli çalışma, klinik çalışma yöntemlerinden bir tanesidir. Bu çalışmada hem katılımcılar hem de araştırmacılar uygulanan ilacın ne olduğunu bilirler. Oysa tek kör ve çift kör çalışmalarda katılımcılar kendilerine hangi ilacın uygulandığını bilmezler (çift kör çalışmada araştırmacı da bilmez).","[2024027, 59015, 2162767]"
9,9.0,2842026,Ağ bilimi,Bilim,0,tr,"Ağ bilimi, farklı öğeleri düğüm şeklinde temsil eden ve bunlar arasındaki ilişkiyi bağlantı (veya kenarlar) olarak dikkate alan, telekomünikasyon ağı, bilgisayar ağı, biyolojik ağ, bilişsel ve anlamsal ağ ve sosyal ağlar gibi karmaşık ağları inceleyen akademik bir alandır. Alan, matematikten graf teorisi, fizikten istatistiksel mekanik, bilgisayar biliminden veri madenciliği ve bilgi görselleştirme, istatistikten çıkarımsal modelleme ve sosyolojiden sosyal yapı dahil olmak üzere çeşitli teori ve yöntemlerden yararlanmaktadır. Amerika Birleşik Devletleri Ulusal Araştırma Konseyi ağ bilimini ""fiziksel, biyolojik ve sosyal fenomenlerin ağ temsillerinin incelenmesi ve bu fenomenlerin tahmin modellerine yol açan çalışma alanı"" olarak tanımlar.","[1736731, 5070, 236156, 1402506, 1290349, 868, 406303, 6924, 2079130, 6737]"
10,10.0,1324505,Alan Turing Yılı,Bilim,0,tr,"Alan Turing Yılı, Alan Turing'in doğumunun 100. yılı anısına 2012 yılı olarak ilan edilmiştir. Turing Yılı Turing Centenary Advisory Committee tarafından düzenlenmektedir.","[7167, 116538, 355264, 27509, 385547, 24052]"
11,11.0,182038,Altın kedi,Bilim,0,tr,"Altın kedi (Catopuma) cinsini oluşturan orta büyüklükteki kedi türlerinin ortak adı.

Asya altın kedisi (Catopuma temminckii)
Borneo altın kedisi (Catopuma badia)",[634010]
12,12.0,152332,Alüminyum atıklar,Bilim,0,tr,"Kullanılmış alüminyum kaplar ve ve folyolar, geri dönüşüm yoluyla yeni malzemelerin üretiminde kullanılabilir. Üstelik alüminyum geri dönüşümü, üretimde büyük miktarda enerji tasarrufu sağlar. Birincil alüminyum üretiminde (cevherden alüminyum üretimi) elektroliz ünitesinde demir , çelik üretiminde harcanandan çok daha fazla enerji harcanır. Hurdadan alüminyum üretimini, birincil alüminyum üretimine göre %95 daha tasarrufludur. Alüminyum geri dönüşümü, sanayii, günümüzde en gelişmiş geri dönüşüm sanayilerinden biridir. Tüm dünyada kullanılan alüminyumun %50'si geri kazanılmaktadır. Bu, alüminyumun topraktan çıkarılması ve işlenip elde edilmesinin yol açtığı çevre kirliliğine karşı da bir önlemdir.","[41140, 14249, 3776]"
13,13.0,2935185,Amazona oratrix tresmariae,Bilim,0,tr,"Tres Marías amazonu (Amazona oratrix tresmariae), Psittacidae ailesinden bir papağan türüdür. AOU dahil olmak üzere birçok otorite, sarı başlı amazon'un (Amazona oratrix) bir alt türü olduğunu düşünür; ancak Uluslararası Ornitoloji Kongresi tarafından tam tür statüsü verilmiştir. Meksika'nın Pasifik kıyılarındaki Islas Marías'a endemiktir.


== Kaynakça ==","[50636, 50634, 2465046, 2935179, 11528, 7138, 1673873, 1085916]"
14,14.0,653898,Amenajman,Bilim,0,tr,"Amenajman, ormanların nasıl, ne zaman ve ne ölçüde kullanılacağını, ormanların sürekliliğinin sağlanması için ormancılık faaliyetlerinin (biyolojik, ekonomik, teknik ve sosyal) tümüne ve ormanlardan daha fazla nasıl verim alırız sorusuna yanıt arayan bilim dalı.",[17110]
