,pageid,title,category,label,language,text,links
0,1047,Bilim,Bilim,0,tr,"Bilim, nedensellik, merak ve amaç besleyen, olguları ve iddiaları deney, gözlem ve düşünce aracılığıyla sistematik bir şekilde inceleyen entelektüel ve pratik disiplinler bütünüdür. Bir parantez açmak gerekirse bu tanımın ""ilim"" için geçerli olmadığının altını çizmek gerekir. Zira bilim somut, dünyevî ve evrensel olayları kendine konu edinmişken ilim manevî olaylarla da ilgilenebilir fakat somut kanıt sunmaz. Bilimi sınıflandıran bilim felsefecileri bilimi formal, sosyal ve fennî bilimler olmak üzere üçe ayırır. Bilimin diğer tüm disiplinlerden en farklı karakteristiği, savunmalarını somut kanıtlarla sunmasıdır. Ve bu da bilimi en güvenilir disiplin olarak günümüze kadar birçok alt dala bölmüş, insanların daha iyi yaşam koşullarına kavuşmasına, bilinmeyen olguları bulmamıza ve yeni şeyler öğrenmemize önayak olmuştur. Tüm bilim dalları evrenin bir bölümünü kendine konu olarak seçer, deneysel yöntemlere ve gerçekliğe dayanarak yasalar çıkarmaya çalışır. Einstein bilimi, her türlü düzenden yoksun duyu verileri ile düzenli düşünceler arasında uygunluk sağlama çabası, Bertrand Russell ise gözlem ve gözleme dayalı akıl yürütme yoluyla dünyaya ilişkin olguları birbirine bağlayan yasaları bulma çabası olarak tanımlar.
Yüzyıllardır insanlığın yeryüzündeki yaşama ortamına duyduğu merak, yaşam standartlarını yükseltecek bir etkinliğe bürünmeye başladı. Olağan gibi görünen olayları anlama çabası, aslında dünyanın gizemlerle dolu bir yer olduğunu ve bunları çözümlemek gerektiği gerçeğini doğurmuştur. Geleneksel bilim sadece anlamaya ve çözmeye gereksinim hissetse de, ileri safhalara bölünen bilim türleri sadece çözmeyi değil çözümden öte ilerlemeyi de kapsar. Geçmişe bakıldığında en önemli sayılan bilim dallarından bazıları matematik, geometri, gök bilimi ve tıptır. Çok çeşitli matematiksel çözümleme sistemlerinin geliştirildiği ilk zamanlardan bu yana hâlâ yeni formüller, sistemler, kuramlar geliştirilmektedir ki bu da bilimin sürekliliğine bir örnektir.
Bilim deneye çok önem verir ve bilimsel yöntem deneye dayanır. Bu evre, işlenen konuyu daha inandırıcı kılmanın yanında belirli bir çerçeveye oturtur. Bir varsayım (hipotez), muhtelif sınamalar sonucunda doğrulanırsa kuram (teori) statüsünü alabilir ve temel taş niteliğine bürünebilir. Bilimin sonsuz bir süreç içinde değişimi yadsınamaz bir durumdur. Zaman içinde alt dallara bölünen bilim sayısal ve sosyal alanlarda ayrı konulara bürünmüş; fakat nitelik açısından aynı amaca hizmet etmeyi sürdürmüştür.","[12726, -1, -1]"
1,2809249,Felsefe-Bilim,Bilim,0,tr,"Felsefe-Bilim, Teoman Duralı ve İhsan Fazlıoğlu tarafından geliştirilen kuramdır. Buna göre, felsefe-bilim 'genel felsefe' olarak adlandırılıan disiplinden başkalaşır. Onun ucu bucağı görünmezliğine karşı tarihi-sistematik bir bölümüdür. Felsefe-bilim şeklinde ortaya çıkan felsefe yapma tavrının kökleri Mısır ve Mezopotamya'ya uzanır. Ancak onu hocası Eflatun'dan ilahi-uhrevi hikmet sancağını devralarak Aristoteles başlatmıştır. Bu kuramla bilim geleneğinin 17. yüzyılda başladığı da reddedilir.
Felsefe-bilim tarih boyunca üç aşamadan oluşur:

Eskiçağ Ege
Ortaçağ (İslam ve Yahudi-Hristiyan felsefe-bilimleri)
Yeniçağ (Dindışı Avrupa felsefe-bilimleri)","[7988, 1799741, 11084]"
2,2550334,Oktay Güvemli,Bilim,0,tr,"Oktay Güvemli, muhasebe tarihinde öncü bilim insanı, yazar ve akademisyendir. Muhasebe ve Finans Tarihi Vakfı'nın kurucusudur. Yurt dışında birçok kongre ve konferansa katılan Prof. Güvemli, 2008 Yılında İstanbul’da 12. Dünya Muhasebe Tarihçileri Kongresi’ni (12.WCAH) organize etti ve başkanlığını yaptı. 2007’de Edirne’de, 2010 ve 2013 yıllarında İstanbul’da, Balkanlar ve Orta Doğu Ülkeleri Muhasebe ve Muhasebe Tarihi Konferanslarını (BMAC) organize etti ve başkanlığını yaptı.","[9115, 2338749, -1]"
3,2781041,Matematik tarihi,Bilim,0,tr,"Matematik tarihi, öncelikle matematikteki keşiflerin kökenini araştıran ve daha az ölçüde ise matematiksel yöntemleri ve geçmişin notasyonunu araştıran bir bilimsel çalışma alanıdır. Modern çağdan ve dünya çapında bilginin yayılmasından önce, yeni matematiksel gelişmelerin yazılı örnekleri yalnızca birkaç yerde gün ışığına çıktı. MÖ 3000'den itibaren Mezopotamya eyaletleri Sümer, Akad ve Asur, Eski Mısır ve Ebla ile birlikte vergilendirmede, ticarette, doğayı anlamada, astronomide ve zamanı kaydetmede/takvimleri formüle etmede aritmetik, cebir ve geometri kullanmaya başladı.
Günümüzdeki en eski matematiksel metinler Mezopotamya ve Mısır'dandır; Plimpton 322 (Babil, y. MÖ 1900), Rhind Papirüsü (Mısır, y. MÖ 2000–1800) ve Moskova (Golenischev) Papirüsü (Mısır, y. MÖ. 1890). Tüm bu metinler, Pisagor üçlülerinden bahseder. Bu nedenle, çıkarım yoluyla Pisagor teoremi, temel aritmetik ve geometriden sonra en eski ve yaygın matematiksel gelişme olarak görülmektedir.
Matematiğin bir ""belirtici disiplin"" olarak incelenmesi, MÖ 6. yüzyılda ""matematik"" terimini ""eğitim konusu"" anlamına gelen eski Yunanca μάθημα'dan (mathema) türeten Pisagorcularla başlar. Yunan matematiği, yöntemlerini büyük ölçüde geliştirdi (özellikle tümdengelimli akıl yürütme ve kanıtlarda matematiksel kesinlik yoluyla) ve matematiğin konusunu genişletti. Teorik matematiğe neredeyse hiç katkı sağlamamış olsalar da, eski Romalılar uygulamalı matematiği ölçme, yapı mühendisliği, makine mühendisliği, defter tutma, ay ve güneş takvimlerinin oluşturulması ve hatta güzel sanatlar ve el sanatlarında kullandılar. Çin matematiği, basamak değeri sistemi ve negatif sayıların ilk kullanımı da dahil olmak üzere matematiğe erken dönemde katkı vermiştir. Hint-Arap rakam sistemi ve bugün dünya genelinde kullanılan işlemlerinin kullanımına ilişkin kurallar, Hindistan'da MS birinci bin yıl boyunca gelişti ve Muhammed ibn Mūsā el-Harezmi'nin çalışmasıyla İslam matematiği yoluyla Batı dünyasına aktarıldı. İslam matematiği de bu medeniyetler tarafından bilinen matematiği geliştirdi ve genişletti. Bu kültürel mirasla eşzamanlı fakat onlardan bağımsız olan, Meksika ve Orta Amerika'daki Maya uygarlığı tarafından geliştirilen, Maya rakamlarında sıfır kavramına standart bir sembol verilen matematikti.
Matematikle ilgili birçok Yunanca ve Arapça metin, 12. yüzyıldan itibaren Ortaçağ Avrupa'sında matematiğin daha da gelişmesine yol açacak şekilde Latince'ye çevrildi. Antik çağlardan Orta Çağ'a kadar, matematiksel keşif dönemlerini genellikle yüzyıllar süren durgunluk takip etti. 15. yüzyılda Rönesans İtalyasından başlayarak, yeni bilimsel keşiflerle etkileşime giren yeni matematiksel gelişmeler, günümüze kadar artan bir hızla devam etti. Bu, hem Isaac Newton hem de Gottfried Wilhelm Leibniz'in 17. yüzyıl boyunca sonsuz küçükler hesabının gelişiminde çığır açan çalışmasını içerir. 19. yüzyılın sonunda Uluslararası Matematikçiler Kongresi kuruldu. Kongre, dört yılda bir dünyanın farklı ülkelerinden matematikçileri bir araya getirerek bu alandaki gelişmelere destek vermeye devam ediyor. Her kongrede matematiğe değerli katkılar sunan matematikçilere, Fields Madalyası, Nevanlinna Ödülü, Gauss Ödülü ve Chern Madalyası verilir.","[-1, -1, 2755359]"
4,2966687,Terra incognita,Bilim,0,tr,"Terra incognita veya terra ignota ( Latince ""bilinmeyen bölge"" incognita, Latincede ikinci hecesinde vurgulanır, ancak İngilizce telaffuzda farklıdır) kartografyada haritalanmamış veya belgelenmemiş bölgeler için kullanılan bir terimdir. İfadenin ilk olarak Batlamyus'un Coğrafya'sında görüldüğüne inanılıyor. 15'inci yüzyılda Coğrafi Keşifler döneminde Batlamyus'un çalışmalarının yeniden keşfedilmesinden sonra tekrar kullanılmaya başlandı. Fransız haritalarındaki eşdeğeri terres inconnues'dir (çoğul) ve bazı İngilizce haritalarda parts unknown [bilinmeyen bölümler] olarak da geçer.Benzer şekilde, keşfedilmemiş veya bilinmeyen denizler, Latince ""bilinmeyen deniz"" anlamına gelen mare incognitum olarak adlandırılır.","[992540, 1431, 124554]"
5,1755481,Yaygın yanlış fikirler listesi,Bilim,0,tr,"Bu liste, çoğu kişi tarafından yaygın olarak önemli konular hakkında bilinen yanlış kanıları ve bilgileri içermektedir.","[2695, 193483, 52759]"
6,2945501,1661'de seçilen Royal Society üyeleri listesi,Bilim,0,tr,Bu Royal Society'nin ikinci yılı olan 1661'de seçilen üyelerin tam bir listesidir.,"[1047, 454395, -1]"
7,2945502,1662'de seçilen Royal Society üyeleri listesi,Bilim,0,tr,Bu Royal Society'nin üçüncü yılı olan 1662'de seçilen üyelerin tam bir listesidir.,"[1047, -1, 1181157]"
8,2946093,1669'da seçilen Royal Society üyeleri listesi,Bilim,0,tr,Bu Royal Society'nin onuncu yılı olan 1669'da seçilen üyelerin bir listesidir.,"[1047, 89652, -1]"
9,2946099,1674'te seçilen Royal Society üyeleri listesi,Bilim,0,tr,Bu Royal Society'nin 15'inci yılı olan 1674'te seçilen üyelerin bir listesidir.,"[1047, -1, -1]"
10,3232616,20. yüzyıl buluşları listesi,Bilim,0,tr,"Bu liste, (milattan sonra) 1900-1999 yılları arasındaki buluşları içerir. Bu zaman aralığında icat edilmiş ve patenti alınmış aygıt ve nesnelerin tümü bu listede görüntülenecektir. Sıralama alfabetiktir. (Sıklıkla elektrikli ve elektronik alanında icatlar görülecektir.)","[-1, 1402637, -1]"
